date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:35:51	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:50%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/maquina-helado-soft-25-litros-por-hora	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/maquina-helado-soft-25-litros-por-hora	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:51	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:51%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/maquina-helado-soft-sobremesa-30-litros-por-hora	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/maquina-helado-soft-sobremesa-30-litros-por-hora	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:52	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:51%20GMT	https://web.archive.org/web/20240325070546im_/http://www.industriaslunaelectric.com/archivos/images/products/helado-soft-sobremesa-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546im_/http_/www.industriaslunaelectric.com/archivos/images/products/helado-soft-sobremesa-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:52	72694/72694	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Oct%202024%2022:35:51%20GMT	https://web.archive.org/web/20240108070639im_/http://industriaslunaelectric.com/archivos/images/products/helado-soft-sobremesa-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240108070639im_/http_/industriaslunaelectric.com/archivos/images/products/helado-soft-sobremesa-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:52	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:52%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/maquina-helado-soft-sobremesa-30-litros-por-hora	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/maquina-helado-soft-sobremesa-30-litros-por-hora	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:53	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:52%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/maquina-helado-soft-35-litros-por-hora	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/maquina-helado-soft-35-litros-por-hora	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:53	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:52%20GMT	https://web.archive.org/web/20240325070546im_/http://www.industriaslunaelectric.com/archivos/images/products/helado-soft-35-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546im_/http_/www.industriaslunaelectric.com/archivos/images/products/helado-soft-35-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:54	74018/74018	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Oct%202024%2022:35:53%20GMT	https://web.archive.org/web/20240108070639im_/http://industriaslunaelectric.com/archivos/images/products/helado-soft-35-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240108070639im_/http_/industriaslunaelectric.com/archivos/images/products/helado-soft-35-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:54	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:53%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/maquina-helado-soft-35-litros-por-hora	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/maquina-helado-soft-35-litros-por-hora	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:54	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:53%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/maquina-helado-soft-40-litros-por-hora	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/maquina-helado-soft-40-litros-por-hora	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
